Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2021,,,,,,
2022,31.62,,14.21,39.37,5.12,0.69
2023,33.72,6.67,16.04,41.54,20.54,0.71
2024,39.0,15.65,22.34,46.06,17.75,0.63
2025,45.18,15.85,24.3,48.49,20.94,0.54
